MRPS14,OXA1L,CYCS,NDUFB5,EIF3I,RPL19,MRPS23,NDUFV1,RPS25,MRPS7
5.046476,7.286402,7.838261,5.926506,8.678524,11.507025,4.957397,6.745114,10.263276,6.617107
4.54878,6.307089,6.954573,5.441659,8.234549,10.233264,3.929927,7.329791,9.915856,6.20608
4.516248,6.224983,7.127864,5.498188,9.076431,10.49072,4.987031,7.512838,8.963304,6.134883
4.686767,6.121327,7.001077,6.365929,8.819787,10.476775,4.895516,6.652428,8.919887,6.043403
4.483595,6.307597,7.017257,5.148673,9.214053,9.824146,3.924128,7.228753,8.768355,5.478947
4.753199,6.328353,7.242371,6.678325,8.344437,10.233144,4.543114,6.773477,8.857219,5.749352
4.414628,6.543098,6.670938,5.32592,9.246069,10.5016,4.794292,6.750521,9.676181,6.425801
5.539461,6.923617,8.075263,6.208934,9.509496,11.771614,5.978637,8.264018,11.086021,7.144397
4.3802,5.455565,6.80862,5.3871,8.561944,10.257751,3.735239,5.962795,9.601714,5.574047
4.955877,6.855513,6.834294,5.35299,9.06455,11.505103,4.759426,7.101031,10.874335,6.546822
5.407969,7.007537,6.580187,5.725247,9.025478,10.583527,4.679449,6.85183,10.273656,6.775852
4.489811,6.215244,7.317624,5.905476,8.713216,10.029794,4.978781,6.582092,8.153948,5.918514
4.595931,6.411212,7.325658,5.920094,8.615557,10.551406,4.84683,6.326287,9.57601,6.124899
4.207358,5.726606,6.486291,4.763389,8.202321,9.946824,3.864719,5.951997,9.003936,5.378104
3.634205,5.635542,7.037987,4.186732,8.903893,10.545935,3.50076,6.058713,9.948514,5.212882
4.841137,7.102278,6.030352,5.028345,8.783425,11.081334,4.767095,7.432737,10.148677,5.752293
4.026145,5.88426,6.892918,5.297257,8.675379,10.125881,4.202419,6.057409,9.224425,5.541224
5.114583,6.334749,7.24476,5.508047,9.282127,10.850368,4.86941,6.91471,10.613171,6.312072
5.803747,6.001799,8.893317,6.988649,10.310397,11.044725,7.017383,6.646607,9.616888,7.702122
3.999158,5.69557,6.927452,4.886267,8.516996,9.992892,3.92964,6.095252,9.219756,5.557429
4.030293,5.263558,6.702151,4.907681,8.467851,10.062088,4.411616,6.336419,9.326828,5.726429
4.332681,6.499599,6.299062,5.414745,8.26796,10.290613,4.100071,6.674524,9.077924,5.144037
4.182523,5.93478,6.371346,4.852304,8.375555,9.825892,4.433798,6.454938,8.047203,5.657381
5.011673,6.273412,6.78241,6.582138,8.908079,10.541052,4.744647,7.75903,9.437186,6.878372
5.106499,6.824349,7.294158,6.175687,9.0831405,11.0732605,5.0439055,7.8182045,9.3232245,6.650638
4.492277,6.025572,6.320284,5.663551,8.861504,9.997968,4.720454,6.658554,9.422447,6.406384
4.426906,5.755058,7.331039,5.001158,8.53399,9.851201,3.669862,6.681249,8.423715,5.448768
4.757099,6.39846,6.319218,5.837761,8.668438,10.189684,4.07683,7.089481,9.37023,5.943817
5.470381,5.997971,6.606141,5.794927,9.539135,11.139185,5.438222,7.955246,10.451008,7.249849
4.233997,5.468125,6.185949,5.482542,8.996113,10.282929,4.584799,6.132887,9.322083,5.574671
4.74397,6.8002,5.917488,6.392977,8.530715,9.74704,4.468956,6.299139,8.156894,6.070271
4.496517,6.159214,5.991438,4.816581,8.269571,9.819181,4.046874,6.027268,8.920684,5.495684
4.680098,5.464055,7.04517,4.737648,9.122526,10.522049,4.838962,7.561372,8.695919,6.230585
4.128558,4.729796,6.264732,5.885718,8.993257,10.433246,4.327741,7.903418,7.753301,6.194702
3.606023,5.635985,6.25669,5.124078,8.681309,9.698613,4.272058,6.082394,8.644738,5.666943
4.173107,5.973723,6.843401,4.829207,8.417568,9.668294,3.802248,5.986086,8.776407,5.410169
3.912958,5.595512,6.430389,4.100092,8.507614,10.253918,3.486733,6.126548,9.213333,5.422667
3.783819,5.810298,6.763055,4.8728,8.904646,9.601724,3.261279,6.267236,8.339629,5.382418
3.931326,5.902067,6.348128,4.26408,8.837297,9.809697,4.110126,5.754963,8.814637,5.596314
4.00729,5.914808,6.597156,5.180687,8.809078,10.932714,5.277159,6.65618,9.841591,6.292199
4.261366,6.156122,6.65331,4.860268,8.834206,10.819241,3.62237,6.587222,10.385504,5.173324
4.869369,5.965753,6.046639,5.081965,9.011675,10.605611,4.606215,6.886752,9.281819,5.669433
5.208285,6.127124,5.578959,5.902506,8.82063,11.364147,4.440547,5.823582,9.113271,6.209674
4.081167,5.76071,6.374037,4.128399,8.64971,10.068095,3.984065,5.993876,9.182399,5.29507
5.153579,6.525164,7.357377,5.936676,8.261932,10.235211,4.556805,7.881764,9.645988,5.950679
4.878327,5.998002,6.927465,6.230001,8.292124,9.345456,4.223324,6.732173,7.78274,5.924697
5.065307,5.832595,7.250477,6.852226,8.526668,10.766971,4.351363,6.798389,9.655265,5.823341
5.250053,5.640715,7.581627,6.823375,8.792765,10.546754,4.600031,6.150633,9.240057,6.040312
3.914772,5.126495,5.854174,4.991471,8.709698,10.465859,3.949473,7.088943,9.34525,5.646779
4.051559,7.180427,6.789876,5.06092,9.119847,10.5096,4.844716,7.008945,9.172636,6.291857
4.655521,6.357046,7.006256,5.472886,8.857324,9.932026,4.61906,6.371103,8.606413,6.385382
5.025661,5.43312,6.537001,5.076518,8.716679,11.108366,4.300697,7.475547,10.002572,5.72148
4.707717,5.586657,7.91889,5.560241,9.239534,10.854302,5.157468,6.849477,10.136106,6.207897
4.782592,5.310059,7.669653,5.362379,9.287852,10.538366,4.950949,7.950193,8.562337,6.441267
4.724981,6.076908,5.87503,4.863307,8.484952,10.661181,5.118178,6.927363,9.681002,5.942347
4.860691,6.148985,6.862892,5.710359,8.793086,11.934336,3.880767,6.460118,8.118093,6.101675
4.517325,5.841181,6.765794,5.633287,8.695193,10.463659,4.672938,7.100263,9.192819,6.071907
5.284527,6.298575,7.590222,6.490523,8.357065,9.97832,5.151479,5.718221,8.941304,6.055208
5.200075,6.019732,7.868123,6.434577,8.917492,10.902643,5.084929,7.660918,9.702954,6.27178
4.673039,5.022759,7.202133,5.671356,8.775525,9.950807,4.578913,6.645529,8.341303,5.596511
4.293836,6.153983,6.720278,4.970194,9.219478,11.012724,4.693523,7.441425,8.823991,6.208664
4.253678,6.049402,6.043412,6.622879,8.067586,9.907346,3.743637,5.412647,8.54916,5.834195
4.290329,6.819077,7.466625,5.819922,8.717738,10.668877,4.911823,7.107377,8.794532,6.219152
5.14897,7.088545,6.400809,5.381803,8.930029,10.93328,5.035025,7.021607,9.259562,6.244118
4.915964,6.118406,6.73337,5.178954,8.652141,10.09957,4.53123,6.434218,9.451746,5.459147
4.42142,5.604298,6.337064,5.56806,8.222361,10.70868,4.836833,6.985611,9.561646,6.389742
4.481547,6.374651,6.833974,4.975139,9.04208,10.911058,4.685789,7.119483,9.369269,6.227343
4.692298,6.134555,6.662223,6.088819,8.320531,10.123186,4.147479,5.775869,8.724111,5.63826
4.752677,6.30414,6.508929,6.013765,8.627075,9.947522,4.414839,7.246683,8.729605,5.438388
3.872809,5.218457,6.090931,4.265319,8.1208,9.417869,3.43296,5.417328,8.542353,5.098462
4.066231,5.832614,6.89895,4.78243,8.761908,10.298105,3.723403,5.997828,9.79604,5.515642
4.627797,6.371446,7.181175,5.715756,8.94341,10.504223,5.080103,6.723565,9.758445,6.106897
4.639536,6.23798,6.548212,4.996621,8.438013,10.087836,4.24944,6.675847,9.605308,5.631825
4.609143,6.484151,7.334491,6.335526,8.902657,10.155083,4.595033,6.882368,8.656159,5.871306
4.453992,6.079804,5.996376,5.284228,8.488675,10.537465,4.726633,6.862506,9.765422,5.52103
4.32518,5.759239,6.43643,4.79097,8.291576,9.71316,4.139022,6.392629,8.757023,5.507327
4.886808,6.781124,6.700148,6.276165,8.676069,10.759809,3.93202,7.135043,9.713464,5.770585
4.574842,6.070259,6.190192,4.690783,8.800924,10.005875,4.308211,8.244659,8.384012,5.271113
4.18521,6.37072,7.199633,5.465643,8.20312,9.984037,4.432905,6.391341,9.368242,5.730529
4.522497,6.384375,6.562078,5.427261,8.973099,10.094937,4.910016,6.645535,9.354043,6.526478
4.733812,6.839328,6.362943,5.392722,8.732443,10.870074,4.997494,6.610708,8.725216,6.491134
3.786277,6.087857,6.333547,4.709016,8.102649,10.213095,2.939365,6.720635,9.820828,4.892322
4.802382,6.588304,7.292711,6.184923,9.091589,10.515553,4.917869,7.747878,8.887506,5.7902
5.11091,6.594534,7.206263,5.459807,8.116427,10.374411,4.215624,6.604875,9.397502,5.795022
3.663841,5.777816,6.881994,4.542369,8.58831,10.114235,4.21783,5.966459,9.113657,5.707594
4.855112,6.428501,6.932511,6.189482,8.56356,10.098637,4.578799,6.916934,8.848381,5.849113
3.53605,4.887124,6.388343,3.930761,8.501887,9.896909,3.365064,5.772119,8.969023,5.132953
4.568188,6.268752,7.443416,5.170726,8.855816,10.099455,4.280048,6.544283,9.108741,6.0845
4.67773,6.027338,6.584699,6.558934,8.088951,10.637577,4.665453,6.669408,9.725221,5.947999
4.29649,5.844364,6.288027,5.691879,8.816826,10.233837,3.847548,6.656468,8.966173,5.814208
4.314857,5.887973,6.982473,4.523648,9.072966,10.208771,4.709232,6.68462,9.129859,5.777461
4.57426,5.696981,7.111311,5.600644,8.763248,10.180578,4.580116,7.158987,8.754011,6.356394
4.404192,5.875873,6.023979,5.654361,8.817022,10.437462,4.85241,6.782833,9.725882,6.245941
3.707064,5.572891,6.874554,4.785971,8.180352,10.03026,3.890709,6.184691,9.082843,5.522136
3.832507,5.708729,6.701934,5.061804,8.113985,9.768688,3.599166,6.604486,8.987578,5.499429
4.996659,6.503699,7.129788,6.146715,8.552762,9.98157,4.593338,6.549542,9.509828,6.014575
5.105219,5.829949,7.946542,4.778425,9.246965,10.490069,4.896075,7.088202,9.851931,7.05652
4.86025,6.661881,7.303609,6.226978,8.224879,13.415279,4.699962,6.762441,9.312679,6.586506
4.565465,5.542531,6.368691,4.608307,8.795384,9.636413,4.48999,6.509351,9.414981,5.742926
4.359874,6.090907,6.289429,5.143918,8.933866,10.358572,4.128588,6.831596,9.315781,6.059229
4.560211,6.242696,6.479611,5.67865,8.704213,9.629376,4.391821,6.921993,8.146159,5.639313
3.848916,5.884449,6.619569,4.441491,7.92107,9.674495,4.118789,6.556399,9.04231,5.991634
3.924028,5.533453,6.281065,5.045599,9.694005,11.154706,4.653014,7.259905,9.302288,5.978502
4.544639,5.93554,7.171128,5.964903,8.487769,10.640254,4.74418,6.743904,9.978597,6.167634
4.720286,6.438089,7.199565,5.796084,8.69084,10.146455,4.619942,6.988652,9.827543,5.966446
4.803149,5.92731,6.695913,5.387512,8.376094,10.031749,4.542092,6.536176,9.177978,5.892814
4.247621,6.042093,6.660525,4.81486,8.92941,10.119359,4.787275,6.568746,8.376356,6.019385
4.602178,6.959833,6.728493,6.231333,9.187225,10.668392,5.159482,7.574082,9.007312,7.036473
5.290189,6.174146,7.164354,6.45756,8.621711,11.138585,4.489667,6.746655,9.78029,6.410204
4.644691,6.724524,6.190666,5.263329,8.662746,10.644434,4.810274,6.578656,9.709729,6.066436
4.80919,5.52666,7.055447,5.199053,9.213029,10.643099,4.848159,6.805948,9.081655,6.200304
4.483825,5.933524,6.562521,4.773995,8.648765,9.866544,4.418627,7.149727,9.69354,5.483246
4.544073,6.008245,6.637579,5.762837,9.285344,10.322258,4.691682,7.146651,9.456572,6.48935
4.003703,4.373513,5.935734,4.219419,8.064475,9.742666,3.985255,5.671762,8.742515,5.330879
4.512905,5.471659,6.988972,5.554302,9.186549,11.103573,5.202831,7.159851,9.648599,6.64412
3.946989,5.666407,6.268062,4.766002,8.296023,9.82101,3.49599,5.813333,9.263765,5.267845
3.33624,5.80734,7.392352,4.333781,8.597007,10.613299,3.575033,6.089832,9.840299,5.036553
4.931651,6.227386,6.030835,5.263314,8.377886,10.670245,3.887129,6.669332,9.884818,5.838571
3.719359,4.973797,6.473181,4.316941,8.01192,9.519058,3.145559,5.939091,8.540462,5.16976
4.342795,5.811412,6.410387,4.724922,8.68735,10.028847,4.378041,6.662575,8.794139,5.790689
4.843684,6.217204,7.649508,4.694753,9.030805,10.060649,4.688828,6.434681,9.139787,5.876235
5.017956,6.231357,6.941772,5.300775,8.760551,10.978678,4.803014,6.705503,9.863712,6.774046
5.109353,6.459747,7.354301,5.657095,9.50327,10.971504,5.990835,6.468623,10.075221,6.98268
5.151761,5.700738,7.572006,6.359293,9.068218,11.207482,5.501834,8.002481,10.055721,6.897224
4.868755,5.996331,6.787147,5.483829,9.389118,11.584945,4.932965,7.876918,10.277937,6.504075
4.299601,5.825942,5.655844,5.769473,8.669717,9.794559,4.416407,6.513179,8.163558,5.722582
4.193914,6.303537,6.85118,4.759289,9.111244,10.051288,4.326101,6.669662,8.93877,5.68195
4.631384,6.132776,7.309967,6.396899,8.363411,10.325897,4.541705,6.132974,9.358444,5.506919
4.524612,4.65419,6.914888,4.83852,8.864327,9.443465,4.202689,6.851638,7.95064,5.602829
4.412827,6.180057,6.698919,4.953638,8.527737,10.193495,4.270127,7.131313,9.126301,5.527794
5.432808,6.999813,7.24826,6.159027,9.160691,10.797637,5.176044,8.809654,9.210654,5.642036
4.772236,6.213095,7.132859,6.048649,8.656251,10.054523,4.5383,6.506993,9.027094,6.007956
4.329338,5.666526,6.859518,5.49984,8.979636,10.682048,4.998606,7.451642,9.719027,6.061187
3.915214,5.968623,7.312944,5.095257,8.322429,10.291672,3.521985,6.375514,9.695844,5.533886
4.556648,5.934695,6.695276,5.200446,8.368903,13.762322,3.802733,6.658833,9.136986,5.324411
4.302782,5.440669,6.34723,5.531957,8.641642,9.800058,3.925226,6.483465,9.440946,5.374478
4.6408,7.040374,6.86988,5.336593,9.457816,10.465052,4.570023,7.601052,9.079715,5.528065
4.619227,5.5245,6.771897,5.497137,8.813673,10.025526,4.50525,5.749603,9.016074,5.823186
3.992543,5.691446,6.385074,5.273272,8.166299,9.64924,3.835459,5.970322,8.815671,5.36638
4.501975,6.096285,7.631337,5.63551,8.665724,9.688821,4.281443,6.791027,9.743691,6.123464
4.206596,6.23981,7.058092,5.555129,8.662137,10.584155,4.985223,6.213744,10.106138,5.81679
4.358094,5.521046,5.912807,5.115261,8.724996,9.456346,3.478115,6.027462,8.341513,4.717889
3.935302,5.951421,6.014672,6.284032,8.266627,9.357103,4.126015,6.211602,7.591876,5.445445
4.873007,6.285143,7.129627,5.265503,9.086464,9.859806,4.305882,6.963625,9.34863,6.042405
5.001038,6.846465,7.435144,5.110696,8.832374,11.398722,5.121007,7.586585,9.861906,6.520101
4.215379,5.186707,6.755895,4.728787,8.734257,10.600033,4.049066,7.466155,9.315515,6.303389
4.682509,5.904077,7.453483,6.756349,8.866639,10.26209,4.870032,6.842333,9.496984,6.081851
